official gene symbol,gene id
A2M,2
ABCB8,11194
ABCF3,55324
ABHD14B,84836
ABHD3,171586
ABHD8,79575
ABTB2,25841
ACACB,32
ACAD10,80724
ACSF3,197322
ACVRL1,94
ADCY4,196883
ADIPOR2,79602
ADPRH,141
AHCTF1,25909
AHCYL2,23382
AIMP2,7965
AK1,203
AKAP2,11217
ALDH2,217
ALDH3B1,221
ALDOC,230
AMACR,23600
AMPD3,272
ANGPT1,284
ANKRD9,122416
ANO6,196527
ANTXR2,118429
ANXA11,311
APBB2,323
APEH,327
APH1B,83464
APOL3,80833
APOO,79135
ARAP1,116985
ARAP3,64411
ARCN1,372
ARHGAP18,93663
ARHGAP27,201176
ARHGAP31,57514
ARHGAP39,80728
ARHGAP6,395
ARHGAP8,23779
ARHGDIB,397
ARHGEF15,22899
ARHGEF17,9828
ARID3A,1820
ARL15,54622
ARL6,84100
ARPC1B,10095
ARRDC1,92714
ARRDC3,57561
ASAP1,50807
ASB16,92591
ASPHD2,57168
ASPSCR1,79058
ASRGL1,80150
ATG4A,115201
ATG4D,84971
ATP13A1,57130
ATP5A1,498
ATP5S,27109
ATP6AP1,537
ATP6AP2,10159
ATP6V0A1,535
ATP6V0A4,50617
ATP6V0B,533
ATP6V0C,527
ATP6V0D2,245972
ATP6V1A,523
ATP6V1B1,525
ATP6V1C2,245973
ATP6V1D,51382
ATP6V1E1,529
ATP6V1G3,127124
ATP6V1H,51606
ATP7A,538
ATPAF2,91647
AUH,549
AXIN1,8312
B4GALNT3,283358
BAG1,573
BAHD1,22893
BAIAP2L1,55971
BAMBI,25805
BAP1,8314
BBS5,129880
BCAR1,9564
BCL2L2,599
BCL6B,255877
BCL7A,605
BCR,613
BDH1,622
BIN1,274
BLCAP,10904
BMPR1B,658
BMPR2,659
BNIP3L,665
BSND,7809
C10orf10,11067
C11orf46,120534
C11orf92,399948
C12orf34,84915
C12orf35,55196
C13orf15,28984
C14orf135,64430
C14orf159,80017
C15orf56,644809
C15orf59,388135
C15orf61,145853
C16orf58,64755
C16orf61,56942
C16orf71,146562
C16orf7,9605
C16orf86,388284
C16orf93,90835
C17orf63,55731
C17orf70,80233
C17orf90,339229
C17orf97,400566
C18orf1,753
C19orf26,255057
C19orf46,163183
C19orf51,352909
C19orf52,90580
C1orf168,199920
C1orf172,126695
C1orf53,388722
C1orf55,163859
C20orf160,140706
C20orf202,400831
C20orf7,79133
C22orf25,128989
C2orf62,375307
C3orf1,51300
C3orf31,132001
C3orf70,285382
C3orf75,54859
C4orf32,132720
C4orf52,389203
C6orf136,221545
C9orf116,138162
C9orf24,84688
C9orf37,85026
C9orf7,11094
C9orf82,79886
C9orf98,158067
CA12,771
CA9,768
CACNA1C,775
CADM4,199731
CALCRL,10203
CALD1,800
CAPN10,11132
CAPN1,823
CARD8,22900
CASP7,840
CC2D1A,54862
CC2D1B,200014
CCBE1,147372
CCDC102B,79839
CCDC109A,90550
CCDC113,29070
CCDC120,90060
CCDC134,79879
CCDC135,84229
CCDC13,152206
CCDC151,115948
CCDC157,550631
CCDC40,55036
CCDC51,79714
CCDC65,85478
CCDC71,64925
CCDC85C,317762
CCND1,595
CCNO,10309
CCNY,219771
CD34,947
CD93,22918
CD9,928
CDC42BPG,55561
CDCA2,157313
CDH13,1012
